,Time,IP,URL,Staus,AdjustedInMinutes,AdjustedInHour,AdjustedInDay,Method,HTTP
0,2017-11-29 06:58:55,10.128.2.1,/login.php,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
1,2017-11-29 06:59:02,10.128.2.1,/process.php,302,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,POST,HTTP/1.1
2,2017-11-29 06:59:03,10.128.2.1,/home.php,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
3,2017-11-29 06:59:04,10.131.2.1,/js/vendor/moment.min.js,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
4,2017-11-29 06:59:06,10.130.2.1,/bootstrap-3.3.7/js/bootstrap.js,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
5,2017-11-29 06:59:19,10.130.2.1,/profile.php,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
6,2017-11-29 06:59:19,10.128.2.1,/js/jquery.min.js,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
7,2017-11-29 06:59:19,10.131.2.1,/js/chart.min.js,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
8,2017-11-29 06:59:30,10.131.2.1,/edit.php,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
9,2017-11-29 06:59:37,10.131.2.1,/logout.php,302,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
10,2017-11-29 06:59:37,10.131.2.1,/login.php,200,2017-11-29 06:50:00,2017-11-29 06:00:00,2017-11-29,GET,HTTP/1.1
11,2017-11-29 07:00:19,10.130.2.1,/login.php,200,2017-11-29 07:00:00,2017-11-29 07:00:00,2017-11-29,GET,HTTP/1.1
12,2017-11-29 07:00:21,10.130.2.1,/login.php,200,2017-11-29 07:00:00,2017-11-29 07:00:00,2017-11-29,GET,HTTP/1.1
